1777881600000000,79696.75000000,79930.00000000,78202.00000000,78793.67000000,5989.03806000,1777895999999999,472495368.85239550,655591,3221.55035000,254082008.87206070,0
1777896000000000,78793.67000000,80545.17000000,78500.00000000,80028.85000000,5918.14009000,1777910399999999,471086959.50407470,926658,3083.54402000,245430653.26265710,0
1777910400000000,80028.85000000,80776.99000000,79619.33000000,80053.31000000,3742.49503000,1777924799999999,300180394.67987540,648707,1749.19733000,140308261.60792900,0
1777924800000000,80053.31000000,80397.19000000,79744.91000000,79861.01000000,1669.26249000,1777939199999999,133591675.70789970,259331,721.22603000,57735398.38880720,0
1777939200000000,79861.01000000,81083.98000000,79808.72000000,80893.08000000,2402.14099000,1777953599999999,193362338.35932880,378068,1377.94875000,110941834.42663170,0
1777953600000000,80893.08000000,81323.52000000,80725.00000000,80855.59000000,2974.59341000,1777967999999999,240873499.23301560,376455,1302.84689000,105505707.58391970,0
1777968000000000,80855.59000000,81095.48000000,80527.76000000,81014.05000000,2484.57226000,1777982399999999,200675636.29487360,255333,1195.29674000,96550560.66335790,0
1777982400000000,81014.05000000,81712.32000000,80932.54000000,81525.19000000,4561.19169000,1777996799999999,371228843.00066740,703156,2538.94944000,206688342.56004060,0
1777996800000000,81525.19000000,81680.00000000,81050.04000000,81606.35000000,1780.45876000,1778011199999999,144912031.90009560,348055,829.18231000,67520109.41127130,0
1778011200000000,81606.35000000,81791.48000000,80790.00000000,80905.52000000,2744.22284000,1778025599999999,223266680.44295510,429863,1383.92564000,112643234.26123300,0
1778025600000000,80905.53000000,81760.84000000,80731.14000000,81581.69000000,3011.74344000,1778039999999999,244741070.83699290,402234,1982.54356000,161079722.78355390,0
1778040000000000,81581.70000000,81649.99000000,81060.00000000,81359.82000000,2300.70653000,1778054399999999,187249650.61601060,335929,1054.34537000,85813557.73566220,0
1778054400000000,81359.82000000,82850.00000000,81328.68000000,82522.89000000,5188.93186000,1778068799999999,426154900.13281150,583617,2884.51536000,236956793.18099790,0
1778068800000000,82522.88000000,82539.33000000,81136.00000000,81704.25000000,4508.66020000,1778083199999999,368798606.29688130,793007,2065.64028000,168977454.37316210,0
1778083200000000,81704.25000000,81907.51000000,81200.00000000,81464.87000000,2369.91746000,1778097599999999,193245510.04107190,393608,1335.01870000,108896902.97737670,0
1778097600000000,81464.86000000,81700.00000000,81000.00000000,81447.01000000,1418.81447000,1778111999999999,115460886.83748010,286312,654.62478000,53284643.17946070,0
1778112000000000,81447.01000000,81490.03000000,80830.23000000,80834.91000000,2068.17310000,1778126399999999,167618852.38283720,392967,957.64530000,77631540.67154350,0
1778126400000000,80834.92000000,81708.32000000,80725.09000000,81518.58000000,2038.83969000,1778140799999999,165615423.34983900,310508,1147.15803000,93198785.30694900,0
1778140800000000,81518.57000000,81590.00000000,80572.40000000,80866.65000000,2364.09693000,1778155199999999,191593255.96505180,327251,1121.55505000,90862445.39737100,0
1778155200000000,80866.65000000,81180.00000000,79699.52000000,79890.63000000,4826.66306000,1778169599999999,387835749.73350320,699919,2134.32969000,171569084.91196710,0
1778169600000000,79890.00000000,80269.06000000,79500.00000000,80146.11000000,3315.14425000,1778183999999999,264879682.89320340,529240,1511.33069000,120764444.75395970,0
1778184000000000,80146.77000000,80371.23000000,79582.95000000,80006.00000000,1541.88635000,1778198399999999,123223417.77789930,280444,753.13003000,60192457.70554050,0
1778198400000000,80006.00000000,80142.84000000,79181.48000000,79578.85000000,3093.73664000,1778212799999999,246521433.78207030,345140,1559.09789000,124296260.29787250,0
1778212800000000,79578.84000000,79778.95000000,79248.58000000,79682.40000000,2410.56518000,1778227199999999,191729371.91178390,297876,1173.28925000,93327438.53920920,0
1778227200000000,79682.40000000,80340.94000000,79666.05000000,80231.22000000,2348.19703000,1778241599999999,187887211.44594570,289634,1345.66317000,107664255.56504040,0
1778241600000000,80231.22000000,80500.00000000,79549.54000000,80142.14000000,3741.40163000,1778255999999999,299281685.95961430,697304,1965.10804000,157209109.24314120,0
1778256000000000,80142.13000000,80299.99000000,79738.75000000,80179.94000000,3047.90033000,1778270399999999,244074210.67311800,440133,1660.18590000,132948738.28738130,0
1778270400000000,80180.00000000,80409.09000000,80089.76000000,80193.17000000,1359.50928000,1778284799999999,109072131.64472960,195285,625.04229000,50154234.25981940,0
1778284800000000,80193.18000000,80550.67000000,80129.85000000,80383.95000000,1093.10948000,1778299199999999,87838021.13107570,169580,617.95306000,49657943.13636480,0
1778299200000000,80383.96000000,80666.66000000,80135.00000000,80228.89000000,1481.48785000,1778313599999999,119043207.92247850,178507,752.85493000,60505176.82168320,0
1778313600000000,80228.88000000,80452.44000000,80166.26000000,80345.46000000,1009.73824000,1778327999999999,81097106.50080450,117110,564.15579000,45310142.23504000,0
1778328000000000,80345.47000000,80600.00000000,80234.00000000,80527.92000000,1439.92073000,1778342399999999,115729842.96101170,166073,903.30046000,72601462.34495930,0
1778342400000000,80527.92000000,81080.00000000,80487.40000000,80938.53000000,1533.85565000,1778356799999999,123906317.93952900,227656,818.09719000,66087574.21810400,0
1778356800000000,80938.53000000,80938.53000000,80621.88000000,80678.40000000,990.30982000,1778371199999999,79981729.53152070,143447,376.36423000,30392241.56935390,0
1778371200000000,80678.41000000,80887.15000000,80572.77000000,80775.00000000,1332.26793000,1778385599999999,107502912.26538460,154990,689.25227000,55619881.18025080,0
1778385600000000,80774.99000000,80840.00000000,80658.97000000,80736.03000000,1238.41638000,1778399999999999,100011257.10202950,137194,640.10691000,51696171.60784210,0
1778400000000000,80736.03000000,80975.40000000,80691.00000000,80821.21000000,1108.70905000,1778414399999999,89613061.19343900,151511,581.73234000,47023177.29351630,0
1778414400000000,80821.21000000,81442.81000000,80784.20000000,81418.01000000,1642.67937000,1778428799999999,133127974.36512670,249005,887.72758000,71959813.67975760,0
1778428800000000,81418.01000000,81583.11000000,81148.00000000,81437.83000000,1798.22732000,1778443199999999,146333824.87734510,284670,965.68496000,78590912.86064100,0
1778443200000000,81437.83000000,82479.32000000,80279.77000000,82210.07000000,4914.01877000,1778457599999999,400634684.46014960,824238,2631.39254000,214615234.89312870,0
1778457600000000,82210.07000000,82380.00000000,80525.00000000,80736.01000000,3139.85094000,1778471999999999,255479585.05223540,614787,1459.52259000,118827670.90972380,0
1778472000000000,80736.00000000,81049.51000000,80639.99000000,80740.40000000,1595.10256000,1778486399999999,128881022.58659590,244189,641.60116000,51843752.67642690,0
1778486400000000,80740.40000000,81200.00000000,80621.87000000,81196.94000000,1639.39360000,1778500799999999,132720347.19478080,271633,819.00871000,66304472.89073490,0
1778500800000000,81196.95000000,81458.00000000,80462.97000000,81445.90000000,2668.23418000,1778515199999999,216243652.72897040,650159,1283.73054000,104070108.54717010,0
1778515200000000,81445.89000000,82137.26000000,81344.72000000,81961.99000000,2673.46567000,1778529599999999,218772682.03585540,529808,1389.84255000,113744701.07470400,0
1778529600000000,81961.99000000,82078.91000000,81596.31000000,81745.65000000,1235.71361000,1778543999999999,101096381.27731770,265820,538.66794000,44070213.39764400,0
1778544000000000,81745.66000000,81788.00000000,80714.28000000,81058.80000000,1860.32116000,1778558399999999,151124237.95031380,388045,821.96024000,66781251.97268080,0
1778558400000000,81058.79000000,81305.24000000,80800.77000000,80865.40000000,1779.90239000,1778572799999999,144381281.57398650,268668,828.58951000,67211412.65440770,0
1778572800000000,80865.40000000,80964.13000000,80496.57000000,80784.87000000,1973.06446000,1778587199999999,159362666.50829100,294919,1083.89334000,87559251.70586440,0
1778587200000000,80784.86000000,80999.00000000,80188.65000000,80336.01000000,3205.73752000,1778601599999999,258409868.46615380,710778,1463.66427000,118031466.36048910,0
1778601600000000,80336.01000000,80874.42000000,79843.59000000,80834.64000000,2673.67675000,1778615999999999,214814079.40157980,453833,1094.44510000,87970748.33188650,0
